Cxt gtf location,contig,interval ,Gene symbol
gene9482,tig00013023,25386-26230,RPL27
gene8316,tig00009847,2255-2820,RPS12
gene9211,tig00012406,30878-31641,RPL27
gene2028,tig00000799,169274-170321,RPS2
gene7044,tig00007312,7137-12083,RPL11
gene5450,tig00004478,30792-38984,MT-ATP6
gene8626,tig00010578,20646-21609,RPS8
gene2360,tig00001024,140147-140965,RPL6
gene6749,tig00006589,27160-32859,RPL13
gene13925,tig00035859,5302-5837,RPS19A
gene2108,"tig00000834	",182767-183503,EEF1B
gene203,tig00000037,89390-99099,RPS15Aa
gene6008,tig00005368,17159-22970,RPL31
gene5442,tig00004474,10219-10807,RPL35A
gene14624,tig00335532,47926-48942,RPL10
gene7975,tig00009369,44421-44879,
gene9055,tig00012096,18446-19030,
gene4502,tig00003075,63925-64886,RPS8
gene2291,tig00000985,112421-112848,RPL35
gene7089,tig00007528,22659-23706,RPS2
gene5023,tig00003883,36664-37330,RLP24
gene3861,tig00002372,1615-8399,RPL19
gene11204,tig00020397,10086-10478,RPS24
gene7508,tig00008023,3960-4872,RPS2
gene14228,tig00068460,3-345,RPL35A
gene11664,tig00021544,28667-34728,RPS5
gene12973,tig00029269,5179-5744,RPS12
gene1318,tig00000441,96435-104692,RPL15
gene6993,tig00007108,20660-21200,RPS27A
gene8512,tig00010248,15256-15842,RPL23
gene3401,tig00001880,134305-135080,RPS13
gene2293,tig00000985,123333-124686,NOB1
gene10665,tig00017163,5312-6285,RPS3A
gene1294,tig00000423,242599-243565,RPL28
gene12689,tig00028034,6940-7770,EIF3K
gene5197,tig00004002,37776-38360,RPL27A
gene13444,tig00031635,7571-11912,NACA
gene709,tig00000181,243533-243858,UQCRQ
gene6564,tig00006380,69257-70034,NME1
gene5021,tig00003882,72894-83291,GSTA4
gene10175,tig00015815,22679-24272,H1-3
gene8422,tig00010041,28303-35454,LOC120956412
gene4676,tig00003394,68815-70161,TUBA8
gene4384,tig00002990,90609-91319,LOC119767247
gene3443,tig00001900,132988-133521,GSTA4
gene346,tig00000065,396945-397983,LOC6033969
gene344,tig00000065,391582-392678,LOC6033971
gene184,tig00000033,102549-103790,
gene9759,tig00014398,22026-28052,LDLR
gene13790,tig00034241,20483-20851,MAI2
gene13341,tig00031036,4-357,H1-0
gene5448,tig00004477,46740-49250,LOC118505303 or PXT
gene10656,tig00017140,32508-40750,LOC6033718
gene918,tig00000268,33791-34281,NXF1
gene5264,tig00004057,65267-65927,LOC6038517
gene4090,tig00002655,9810-15528,RAP1A
gene2067,tig00000820,186526-186920,WDR83OS
gene2292,tig00000985,117430-119035,SMYD4
gene3359,tig00001859,13599-27003,KHDRBS2
gene3913,tig00002407,27573-28406,SUMO1
gene12937,tig00029106,1428-12643,K02A2.6-like
gene6683,tig00006501,11592-18072,OSK
gene6161,tig00005555,50654-56055,SAE1
gene8351,tig00009886,44529-44921,RBM39
gene6686,tig00006501,39893-40548,TMA16
gene8311,tig00009836,550-858,SNRPG
gene3403,tig00001881,12655-13250,NIP7
gene7211,tig00007657,25905-26588,NOP16
gene6000,tig00005360,76650-77484,EXOSC1
gene5622,tig00004632,5960-6520,CCDC86
gene10817,tig00017852,24892-25631,GST1
gene13432,tig00031588,18458-19048,SNRPB
gene9528,tig00013122,18181-27736,ENOPH1
gene3563,tig00002079,2308-3445,RPF2
gene7385,tig00007832,12130-13952,GTF2F1
gene1886,tig00000745,161049-161420,LSM3
gene13266,tig00030646,13939-14379,HINT1
gene3531,tig00001972,1584-10916,ARGK1
gene3582,tig00002084,42361-53927,CP1
gene11901,tig00022382,20545-21018,PIN4
gene9111,tig00012185,21372-28838,FK506
gene12617,tig00027741,7559-8266,PSMB2
gene14165,tig00058989,4139-5167,CSNK2A1
gene2469,tig00001126,108019-108942,MDH1
gene13342,tig00031036,7044-7327,SEM1
gene2158,tig00000866,148682-149117,MICOS13
gene1735,tig00000652,82667-87344,CG16817
gene13265,tig00030646,13050-13851,RABL3
gene2793,tig00001358,139764-140084,NHP2
gene7127,tig00007561,80876-85673,PFDN4
gene13601,tig00032567,9103-14235,ABCF2
gene4107,tig00002665,43826-44356,NDUFA13
gene7389,tig00007832,52906-65538,FSCB
gene11037,tig00020003,31825-33296,TUBA1A
gene14647,tig00335587,37271-45445,DKC1
gene6256,tig00005677,20095-20607,PPIL1
gene9903,tig00015230,13661-16118,NOP2
gene7442,tig00007928,5962-14810,FKBP12
gene12376,tig00024622,35646-40772,PSMA3
gene59,tig00000008,254188-254968,NDUFA8
gene1629,tig00000591,152683-159108,COX5B
gene3627,tig00002102,116938-126017,EEF2
gene2157,tig00000866,135704-143488,PA2G4
gene2687,tig00001249,110219-111189,DPH5
gene11122,tig00020187,6987-7296,COX6C
gene155,tig00000031,201366-202124,NIFK
gene5269,tig00004058,69120-75299,FBL
gene47,tig00000003,704000-717711,SLE
gene3146,tig00001674,34387-34819,NDUFA2
gene12737,tig00028193,10224-20786,SQD
gene4204,tig00002750,31955-40181,LOC6043971
gene989,tig00000292,208096-208905,EEF1D
gene2922,tig00001505,63269-65035,DNAJA1
gene2544,tig00001143,57061-65687,SLC25A3
gene7552,tig00008090,31649-32767,AHCY
gene1736,tig00000652,93101-93559,COX5A
gene6828,tig00006723,19324-31577,ZNF771
gene5878,tig00004968,6116-14969,DDOST
gene1423,tig00000486,84452-84912,NDUFB2
gene10818,tig00017859,4730-5299,NLP
gene4974,tig00003855,93348-101879,DAO-5
gene11835,tig00022138,17869-22962,EIF5A
gene54,tig00000008,64288-66384,HSP90B1
gene6994,tig00007108,28725-29504,NSA2
gene5551,tig00004572,6456-7015,UQCRB
gene1912,tig00000750,93596-93999,ATP5MG
gene1322,tig00000441,128702-130605,ATP5MC1
gene10466,tig00016585,767-1084,FABP1
gene10518,tig00016726,38867-45205,EIF4E^2
gene1056,tig00000317,141281-142001,NSMCE2
gene10896,tig00018300,26067-30000,TOR1A
gene10945,tig00018580,17784-18858,ZNF23
gene11086,tig00020103,23566-24450,VGR
gene11125,tig00020190,3747-9973,LOC6050839
gene11159,tig00020291,9916-11413,LOC119766843
gene11326,tig00020648,5833-12602,LOC6050187
gene11466,tig00020986,5772-6874,VPS41
gene11601,tig00021391,20797-28538,ZSCAN31
gene1181,tig00000369,94920-101665,CAB39
gene1214,tig00000396,42391-54551,HDAC1
gene12720,tig00028143,2378-7874,LDLR
gene12761,tig00028284,789-8460,SUCLA2
gene12828,tig00028589,4655-5494,NIT2
gene13082,tig00029779,514-822,URAH
gene13445,tig00031635,28339-29702,LOC6041336
gene13710,tig00033374,9131-14005,TMPRSS9
gene14059,tig00045090,3596-4155,PPIL3
gene14198,tig00063953,10033-10251,LOC6035408
gene1614,tig00000582,119952-121148,LOC6034388
gene173,tig00000032,127268-132702,CBS
gene1932,tig00000757,1876-6626,SF3A3
gene200,tig00000037,58328-66000,MNS1
gene2317,tig00000995,63563-64033,LOC6031460
gene2388,tig00001043,104002-104801,THUMPD1
gene264,tig00000043,205793-216376,ATRX
gene2757,tig00001352,128606-129525,SPRING1
gene2914,tig00001498,83845-84568,ANKS6
gene2993,tig00001545,35999-46324,MYH11
gene3205,tig00001701,73735-76941,ZNF184
gene3243,tig00001726,37958-39220,LOC6046226
gene3271,tig00001743,49455-57673,LOC120956412
gene3343,tig00001853,89712-91081,TSSK3
gene3624,tig00002102,15668-16297,CBX3
gene3798,tig00002264,140994-147525, HRB87F
gene3824,tig00002341,82026-82436,
gene401,tig00000081,271445-272598,
gene4164,tig00002726,66890-73788,MAPRE1
gene4247,tig00002788,58832-59410,JD
gene4467,tig00003050,113625-118738,UBE2D1
gene4675,tig00003394,54952-56289,TUBA8
gene5255,tig00004042,39526-47387,EXU
gene5362,tig00004204,20080-21304,LOC6034910
gene590,tig00000141,194428-199202,LOC119766837
gene5901,tig00004999,80965-97507,PAN1
gene5978,tig00005338,5163-11166,LOC128386953
gene6155,tig00005552,98108-99490,SRSF2
gene622,tig00000148,13900-18025,CHI
gene6377,tig00005846,437-1219,BGBP
gene6394,tig00005872,94191-96289,MOV10B.1
gene6525,tig00006348,31059-31866,ERCC1
gene6586,tig00006406,22661-37654,CTH
gene6713,tig00006551,55074-55628,PABPC1 & PABPN1
gene7014,tig00007191,33405-34726,TTN
gene7163,tig00007606,27124-32315,PLA2G15
gene7298,tig00007751,65259-66962,LAMDM(0)
gene7400,tig00007848,65302-65915,ARL14EP
gene7953,tig00009343,10013-11221,PRCC
gene8100,tig00009550,5656-6196,cMycBP
gene8261,tig00009784,22980-23751,POLR3GL
gene8420,tig00010041,5822-13073,LOC120956412
gene8463,tig00010143,20018-20524,RNF4
gene8674,tig00010763,1632-5224,LOC6035852
gene9290,tig00012592,11692-12623,LOC119765010
gene9326,tig00012663,30028-38510,LOC6035067
gene9339,tig00012703,33435-34370,BCAS2
gene9588,tig00013321,11248-11514,COX7A1
gene9606,tig00013364,10-660,UCP2
gene9663,tig00013618,25389-26910,LOC6046255
gene9725,tig00013953,20928-27147,LOC126347783
gene9754,tig00014284,25225-27078,Hn
gene9966,tig00015350,39659-46474,PPO1
gene10089,tig00015581,18760-19011,CecA1
gene1,tig00000001,5444-5882,
gene10,tig00000001,158925-164195,LOC6035999
gene10,tig00000001,174864-175886,LOC6035998
gene100,tig00000012,263945-266180,NSUN2 
gene100,tig00000012,266492-267035,MRPL20
gene1000,,,
gene10000,,,
gene10002,,,
gene10003,,,
gene10005,,,
gene10006,,,
gene10007,,,
gene10008,,,
gene10009,,,
gene1001,,,
gene10010,,,
gene10011,,,
gene10012,,,
gene10014,,,
gene10015,,,
gene10015,,,
gene10016,,,
gene10017,,,
gene10018,,,
gene10019,,,
gene10021,,,
gene10022,,,
gene10023,,,
gene10023,,,
gene10026,,,
gene10027,,,
gene10028,,,
gene1003,,,
gene10032,,,
gene10033,,,
gene10034,,,
gene10035,,,
gene10036,,,
gene10037,,,
gene10038,,,
gene10039,,,
gene1004,,,
gene10043,,,
gene10044,,,
gene10045,,,
gene10046,,,
gene1005,,,
gene10050,,,
gene10052,,,
gene10053,,,
gene10055,,,
gene10056,,,
gene10057,,,
gene10058,,,
gene10059,,,
gene1006,,,
gene10060,,,
gene10063,,,
gene10064,,,
gene10065,,,
gene10066,,,
gene10067,,,
gene10068,,,
gene10069,,,
gene1007,,,
gene10070,,,
gene10076,,,
gene10081,,,
gene10088,,,
gene10090,,,
gene10091,,,
gene10092,,,
gene10093,,,
gene10094,,,
gene10095,,,
gene10098,,,
gene10099,,,
gene101,tig00000012,266492-267035,MRPL20 
gene10100,,,
gene10105,,,
gene10106,,,
gene10107,,,
gene10108,,,
gene10109,,,
gene10110,,,
gene10113,,,
gene10114,,,
gene10115,,,
gene10116,,,
gene1012,,,
gene10120,,,
gene10121,,,
gene10122,,,
gene10126,,,
gene10128,,,
gene1013,,,
gene10130,,,
gene10131,,,
gene10132,,,
gene10133,,,
gene10134,,,
gene10134,,,
gene10135,,,
gene10136,,,
gene10138,,,
gene10139,,,
gene1014,,,
gene10140,,,
gene10141,,,
gene10142,,,
gene10143,,,
gene10144,,,
gene10145,,,
gene10147,,,
gene10148,,,
gene10149,,,
gene1015,,,
gene10150,,,
gene10151,,,
gene10154,,,
gene10155,,,
gene10157,,,
gene10158,,,
gene10160,,,
gene10165,,,
gene10168,,,
gene10169,,,
gene1017,,,
gene10171,,,
gene10173,,,
gene10176,,,
gene10177,,,
gene10179,,,
gene1018,,,
gene10180,,,
gene10181,,,
gene10183,,,
gene10186,,,
gene10188,,,
gene10189,,,
gene10190,,,
gene10191,,,
gene10192,,,
gene10193,,,
gene10195,,,
gene10196,,,
gene10197,,,
gene10198,,,
gene10199,,,
gene102,tig00000013,11378-13429,LOC6041940
gene1020,,,
gene10202,,,
gene10203,,,
gene10205,,,
gene10207,,,
gene10210,,,
gene10211,,,
gene10213,,,
gene10214,,,
gene10215,,,
gene10223,,,
gene10224,,,
gene10225,,,
gene10226,,,
gene10227,,,
gene10232,,,
gene10234,,,
gene10235,,,
gene10236,,,
gene10237,,,
gene10238,,,
gene10240,,,
gene10241,,,
gene10245,,,
gene10247,,,
gene10248,,,
gene10249,,,
gene10250,,,
gene10251,,,
gene10252,,,
gene10254,,,
gene10255,,,
gene10256,,,
gene10257,,,
gene10257,,,
gene10257,,,
gene10258,,,
gene10259,,,
gene10259,,,
gene10261,,,
gene10263,,,
gene10266,,,
gene10267,,,
gene10268,,,
gene10269,,,
gene10270,,,
gene10271,,,
gene10272,,,
gene10273,,,
gene10275,,,
gene10276,,,
gene10277,,,
gene10278,,,
gene10279,,,
gene10281,,,
gene10284,,,
gene10288,,,
gene10296,,,
gene10297,,,
gene10298,,,
MT-nbisL1-trna-20,MT_CDS_11637_12591,,MT-ND1
MT-nbisL1-trna-3,MT_CDS_209_1231,209-1231,MT-ND2
MT-nbisL1-trna-10,MT_CDS_5564_5918,,MT-ND3
MT-nbisL1-trna-17,MT_CDS_8127_9469,8127-9469,MT-ND4
MT-nbis-gene-4,MT_CDS_9463_9756,,MT-ND4L
MT-nbisL1-trna-16,MT_CDS_6318_8063,6318-8063,MT-ND5
MT-nbisL1-trna-19,MT_CDS_9902_10417,9902-10417,MT-ND6
MT-nbisL1-trna-6,MT_CDS_1432_2968,1432-2969,MT-COX1
MT-nbisL1-trna-7,MT_CDS_3034_3727,3034-3727,MT-COX2
MT-nbis-gene-3,MT_CDS_4712_5499,4712-5499,MT-COX3
MT-nbisL1-trna-9,MT_CDS_3386_4038,3886-4038,MT-ATP-8
MT-nbis-gene-2,MT_CDS_4032_4712,4032-4712,MT-ATP-6
MT-nbis-gene-5,MT_CDS_10417_11551,10417-11551,MT-CYTB
gene7,tig00000001_CDS_115389_116540,,ASTE1
gene13,tig00000001_CDS_206655_206764,,SLC25A27
gene14,tig00000001_CDS_240555_240860,,NID1
gene15,tig00000001_CDS_267909_268619,,PRKAB2
gene1,tig00000001_CDS_5444_5656,,PPP1R14B
gene3,tig00000001_CDS_60707_60943,,DPY30
gene22,tig00000001_CDS_608552_609955,,ABCC10
gene23,tig00000001_CDS_615927_616190,,RABIF
gene25,tig00000001_CDS_632883_633731,,SGCE
gene32,tig00000003_CDS_338289_338390,,ARL2BP
gene33,tig00000003_CDS_364698_365002,,NUP93
gene34,tig00000003_CDS_372148_372660,,RPS2
gene35,tig00000003_CDS_387120_388350,,RNMT
gene36,tig00000003_CDS_397119_397700,,FAM210A
gene37,tig00000003_CDS_417693_419178,,GK
gene39,tig00000003_CDS_453249_454075,,Y-e
gene41,tig00000003_CDS_574447_574765,,ACTBL2
gene42,tig00000003_CDS_579257_580339,,ACTB
gene43,tig00000003_CDS_599302_600393,,EPB41L4B
gene44,tig00000003_CDS_688572_688718,,SPCS1
gene45,tig00000003_CDS_688973_689800,,DTWD1
gene46,tig00000003_CDS_697580_700258,,CDC5L
gene48,tig00000003_CDS_738446_739732,,RM62-1
gene55,tig00000008_CDS_101602_103695,,HSP90AB1
gene57,tig00000008_CDS_150732_152130,,CCE-I1
gene59,tig00000008_CDS_254188_254316,,NDUFA8
gene49,tig00000008_CDS_3_470,,PIGF
gene60,tig00000008_CDS_366664_366799,,TCF15
gene61,tig00000008_CDS_408843_409007,,GULP1
gene52,tig00000008_CDS_44513_45673,,MINPP1
gene62,tig00000008_CDS_494140_494457,,GBX2
gene53,tig00000008_CDS_53661_54833,,MINPP1
gene63,tig00000008_CDS_573813_574438,,VPS51
gene50,tig00000008_CDS_5968_6587,,TRAPPC8
gene54,tig00000008_CDS_64288_66384,,HSP90AB1
gene65,tig00000011_CDS_11284_11896,,DGAT2
gene71,tig00000011_CDS_149073_150005,,PHTF1-1
gene72,tig00000011_CDS_160325_160925,,PHTF1-2
gene66,tig00000011_CDS_16354_16924,,DGAT2
gene67,tig00000011_CDS_25133_25294,,KMO
gene77,tig00000011_CDS_333123_333473,,GRASP
gene79,tig00000011_CDS_362936_363153,,EIF3I
gene92,tig00000012_CDS_109787_111362,,ZFR
gene94,tig00000012_CDS_165201_165353,,TNFAIP8
gene95,tig00000012_CDS_170777_170998,,CLPX
gene97,tig00000012_CDS_228449_229093,,RNF115
gene98,tig00000012_CDS_235762_236178,,TOPBP1
gene99,tig00000012_CDS_252237_253781,,CCT3
gene100,tig00000012_CDS_264128_266045,,NSUN2
gene88,tig00000012_CDS_40611_41153,,MDH2
gene91,tig00000012_CDS_84391_84813,,DET1
gene106,tig00000013_CDS_124974_125807,,IDH3G
gene103,tig00000013_CDS_20089_20982,,RPLP0
gene107,tig00000013_CDS_204348_205321,,MDN1-1
gene108,tig00000013_CDS_237106_237553,,MDN1-2
gene104,tig00000013_CDS_29612_29808,,FDX1
gene119,tig00000023_CDS_304510_304674,,DLC-D
gene115,tig00000023_CDS_35673_36293,,ACAT2
gene120,tig00000023_CDS_407184_411089,,FANCD2
gene121,tig00000023_CDS_435408_435998,,SIRT6
gene116,tig00000023_CDS_79161_80287,,GLG1
gene127,tig00000025_CDS_296039_296251,,GPROR23-1
gene128,tig00000025_CDS_315929_316138,,GPROR23-2
gene129,tig00000025_CDS_324751_324951,,GPROR23-3
gene130,tig00000025_CDS_408857_410200,,SHF
gene132,tig00000025_CDS_439602_439814,,GPROR23-4
gene133,tig00000025_CDS_467267_467476,,GPROR23-5
gene138,tig00000029_CDS_129196_129344,,CRISP2
gene139,tig00000029_CDS_153945_154550,,PHLPP2-1
gene140,tig00000029_CDS_168935_169226,,PHLPP2-2
gene141,tig00000029_CDS_177488_178021,,PHLPP2-3
gene136,tig00000029_CDS_19417_20898,,PSMD3
gene143,tig00000029_CDS_216464_216672,,LHX3
gene144,tig00000029_CDS_372064_373305,,AMD
gene145,tig00000029_CDS_413425_413674,,DDC
gene146,tig00000029_CDS_478661_479512,,SNX21
gene149,tig00000031_CDS_10161_10883,,NMUR1
gene152,tig00000031_CDS_117168_118152,,KIF19
gene153,tig00000031_CDS_139184_139393,,INPP1
gene155,tig00000031_CDS_201366_202124,,NIFK
gene156,tig00000031_CDS_202158_202364,,MEOX1
gene158,tig00000031_CDS_338032_338133,,ZFPL1
gene159,tig00000031_CDS_345163_345925,,SPAG1
gene166,tig00000031_CDS_403144_405066,,STNB
gene150,tig00000031_CDS_44778_45117,,NMUR1
gene167,tig00000032_CDS_1_1641,,UCKL1
gene174,tig00000032_CDS_150603_150731,,MGST1
gene177,tig00000032_CDS_184762_186180,,GPRFZ3
gene170,tig00000032_CDS_74336_76750,,TUBGCP3
gene171,tig00000032_CDS_97459_98190,,AP3D1
gene184,tig00000033_CDS_102549_103790,,CPVL
gene187,tig00000033_CDS_125779_126210,,MRPL48
gene188,tig00000033_CDS_130314_130895,,cid
gene190,tig00000033_CDS_153101_156328,,SREBF2
gene191,tig00000033_CDS_160493_161956,,DDX54
gene192,tig00000033_CDS_172518_174501,,HEATR6
gene193,tig00000033_CDS_405745_408009,,CCDC88A
gene194,tig00000033_CDS_439511_439785,,PI4KB
gene183,tig00000033_CDS_60241_60861,,ARID4B
gene204,tig00000037_CDS_269653_269815,,SDK2
gene196,tig00000037_CDS_28823_29133,,MNS1
gene205,tig00000037_CDS_289859_290479,,SDK2
gene197,tig00000037_CDS_33530_33888,,MNS1-1
gene198,tig00000037_CDS_41773_42098,,MNS1-2
gene200,tig00000037_CDS_58328_58846,,MNS1-3
gene203,tig00000037_CDS_89390_89688,,RPS15A
gene211,tig00000040_CDS_175151_175413,,UBE2I
gene212,tig00000040_CDS_204714_204856,,GMNN
gene214,tig00000040_CDS_244864_245661,,UCK1
gene216,tig00000040_CDS_257422_257529,,NUTF2
gene222,tig00000040_CDS_344544_344672,,HIS4R-1
gene226,tig00000040_CDS_359505_359797,,HIS4R-2
gene229,tig00000040_CDS_366197_366489,,HIS4R-3
gene231,tig00000040_CDS_372888_373180,,HIS4R-4
gene235,tig00000040_CDS_429572_429864,,HIS4R-5
gene238,tig00000040_CDS_444600_444892,,HIS4R-6
gene240,tig00000040_CDS_457964_458256,,HIS4R-7
gene242,tig00000040_CDS_471283_471575,,HIS4R-8
gene244,tig00000040_CDS_486059_486351,,HIS4R-9
gene248,tig00000040_CDS_496920_497212,,HIS4R-10
gene258,tig00000042_CDS_136735_137388,,EVI5L
gene259,tig00000042_CDS_155750_157816,,NOL10
gene251,tig00000042_CDS_18476_18654,,CHCHD4
gene260,tig00000042_CDS_261287_261892,,GLUL
gene261,tig00000042_CDS_268054_268238,,PARVB
gene262,tig00000042_CDS_291565_291841,,DDX25
gene254,tig00000042_CDS_33012_35669,,IARS2
gene267,tig00000043_CDS_373238_373434,,MCTP2-1
gene268,tig00000043_CDS_379044_379210,,MCTP2-2
gene269,tig00000046_CDS_169819_170148,,CRHR2
gene270,tig00000046_CDS_171523_171927,,SKP1-1
gene271,tig00000046_CDS_178167_178571,,SKP1-2
gene277,tig00000046_CDS_366071_368752,,VCL
gene279,tig00000046_CDS_439917_440981,,POLQ
gene286,tig00000050_CDS_171085_171219,,TAF10
gene288,tig00000053_CDS_205916_207154,,PTPN23
gene291,tig00000053_CDS_244403_244594,,KLHL20
gene287,tig00000053_CDS_76648_77641,,DPP10
gene297,tig00000054_CDS_178772_179530,,ALDOC
gene298,tig00000054_CDS_241201_241443,,RASL10B
gene307,tig00000055_CDS_104699_105365,,SCP2
gene308,tig00000055_CDS_130691_130827,,rsbn1l
gene299,tig00000055_CDS_14323_14510,,l(3)87Df
gene302,tig00000055_CDS_46689_50600,,XDH
gene316,tig00000062_CDS_113625_113786,,PLA2G6
gene317,tig00000062_CDS_123644_124207,,TMEM209
gene319,tig00000062_CDS_165675_166376,,ASF1A
gene320,tig00000062_CDS_186887_187032,,NTPCR
gene321,tig00000062_CDS_210339_211056,,POLR3E
gene322,tig00000062_CDS_225636_226496,,PIGC
gene323,tig00000062_CDS_277363_277885,,SLC30A1
gene324,tig00000062_CDS_324393_324626,,RECQL4
gene325,tig00000062_CDS_369837_370013,,UBE2M
gene326,tig00000063_CDS_137116_138354,,NADSYN1-1
gene327,tig00000063_CDS_154032_154754,,NADSYN1-2
gene328,tig00000063_CDS_176051_176236,,OVOL1
gene329,tig00000063_CDS_211853_213004,,GPRNPY4
gene331,tig00000065_CDS_142709_143077,,ZCRB1
gene334,tig00000065_CDS_161642_163915,,DCAF15
gene336,tig00000065_CDS_202160_202936,,ACBD5
gene338,tig00000065_CDS_218579_220332,,EIF3A
gene340,tig00000065_CDS_288665_290887,,LLGL1
gene341,tig00000065_CDS_334366_335294,,SHOC2
gene342,tig00000065_CDS_347768_348540,,ADIPOR2
gene343,tig00000065_CDS_386153_386659,,TMEM192
gene347,tig00000065_CDS_399058_400602,,FAM161A
gene348,tig00000065_CDS_404881_406506,,CTSF
gene350,tig00000065_CDS_422494_424392,,TTC30B
gene351,tig00000065_CDS_428446_428961,,ADAT2
gene352,tig00000065_CDS_429054_429323,,SMUG1
gene353,tig00000069_CDS_13947_14828,,CES5A
gene363,tig00000069_CDS_183676_184227,,PGP-2
gene364,tig00000069_CDS_282412_284979,,PRPF6
gene355,tig00000069_CDS_63436_63624,,CTDNEP1
gene356,tig00000069_CDS_85735_86169,,PEX14
gene357,tig00000069_CDS_96170_97090,,SHQ1
gene378,tig00000070_CDS_221615_221797,,CTBP1
gene381,tig00000070_CDS_376357_376495,,EMC6
gene382,tig00000070_CDS_384570_384813,,WDR91
gene376,tig00000070_CDS_53175_53819,,ANX
gene377,tig00000070_CDS_74704_75687,,MAEA
gene387,tig00000075_CDS_228502_228704,,NF1
gene389,tig00000075_CDS_311100_311322,,DPP8
gene390,tig00000075_CDS_340239_340397,,FKBP2
gene391,tig00000075_CDS_354850_355042,,TAF12
gene384,tig00000075_CDS_49073_49359,,SULF1-1
gene385,tig00000075_CDS_68677_69624,,SULF1-2
gene395,tig00000077_CDS_112790_113608,,SEPP1
gene392,tig00000077_CDS_32584_33054,,GPAM
gene393,tig00000077_CDS_61020_63932,,BTBD7
gene399,tig00000081_CDS_235590_236402,,PSMD11
gene400,tig00000081_CDS_249033_250007,,NAA30
gene404,tig00000081_CDS_297776_298030,,HGH1
gene420,tig00000088_CDS_156118_157117,,NUDCD1
gene421,tig00000088_CDS_157985_158194,,SDR39U1
gene418,tig00000088_CDS_71050_71853,,BRE-3
gene430,tig00000090_CDS_200095_200389,,TCF4
gene432,tig00000090_CDS_323984_324367,,RNF121
gene433,tig00000090_CDS_330529_331740,,KIF14-1
gene435,tig00000090_CDS_377137_378144,,KIF14-2
gene436,tig00000090_CDS_390036_390617,,SLC39A7
gene437,tig00000090_CDS_405158_406125,,WBP11
gene438,tig00000090_CDS_421862_422110,,TTC19
gene440,tig00000090_CDS_451778_452252,,AB
gene428,tig00000090_CDS_87305_87639,,PIP5K1B
gene449,tig00000091_CDS_256456_256853,,TTYH2
gene444,tig00000091_CDS_80580_81089,,CRISPLD2
gene445,tig00000091_CDS_94522_94809,,CRISPLD2
